4.400	The problem likely will mean corrective changes before the shuttle fleet starts flying again.	He said the problem needs to be corrected before the space shuttle fleet is cleared to fly again.
3.600	Pratt &Whitney had said that 75 per cent of the engine equipment would be outsourced to Europe, with final assembly in Germany.	Pratt & Whitney had said that if it won the contract 75 per cent of the engine equipment would be outsourced to European suppliers, with final assembly in Germany.
2.800	Staff writers Selwyn Crawford and Colleen McCain Nelson and Brian Anderson of DallasNews.com contributed to this report.	Staff writers Brandon Formby and Colleen McCain Nelson contributed to this report.
1.800	The Commerce Commission would have been a significant hurdle for such a deal.	The New Zealand Commerce Commission had given Westpac no indication whether it would have approved its deal.
3.400	Prosecutors filed a motion informing Lee they intend to seek the death penalty.	He added that prosecutors will seek the death penalty.
2.600	"They've been in the stores for over six weeks," says Carney.	The quarterlies usually stay in stores for between six to eight weeks," Carney added.
2.200	"Let's show we won't let them off," said Marc Blondel, leader of the Force Ouvriere union.	"The movement to defend pensions is gaining momentum, and we won't give up," said Marc Blondel, leader of the Force Ouvriere union.
4.800	Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come."	Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to "fully support PeopleSoft customers and products" for many years to come.
3.000	American Masters: Arthur Miller, Elia Kazan and the Blacklist: None Without Sin (Wed.	Note the subheading of this terrible parable in the "American Masters" series, "Arthur Miller, Elia Kazan and the Blacklist: None Without Sin."
2.000	That package included increases to both the city's sales and income taxes.	He also objects to the sales and personal income tax increases in the package.
3.500	The world's largest software company said it recognized the difficulty the multiple patches posed for companies, and set out to make it easier for them to apply the updates.	The world's largest software company said it recognized the difficulty the multiple patches posed for companies trying to apply them.
3.750	But price declines have remained below 30 percent, year over year, for the last two quarters, said IDC analyst John McArthur.	McArthur told internetnews.com price declines have moderated and remained below 30 percent from the previous year for the last two quarters.
3.500	Putin hailed Saudi Arabia as ``one of the most important Muslim nations.	Before the meeting, Putin said Russia regards Saudi Arabia as a key Muslim state.
3.333	The songs are on offer for 99 cents each, or $9.99 for an album.	The company will offer songs for 99 cents and albums for $9.95.
4.250	"Certainly what we know suggests that we should take what they're saying very seriously," he added.	"We don't know everything [but] what we know suggests that we should take what they're saying seriously," he said.
4.000	Under Mexican law, bounty hunting is considered a form of kidnapping.	Bounty hunting is illegal in Mexico, and the bounty hunter was charged with kidnapping.
2.000	Gillette shares rose $1.45, or 4.5 percent, to $33.95 in afternoon New York Stock Exchange trading.	Shares of Gillette closed down 45 cents at $33.70 in trading Wednesday on the New York Stock Exchange.
1.600	Shares of San Diego-based Jack In The Box closed at $21.49, up 78 cents, or 3.8 percent, on the New York Stock Exchange.	Shares of Tampa-based Outback Steakhouse Inc. closed at $44.50, up $1.78, or 4.2 percent, on the New York Stock Exchange.
3.600	The Dow Jones industrials climbed more than 140 points to above the 9,000 mark, the first time since December.	The Dow Jones industrials briefly surpassed the 9,000 mark for the first time since December."
3.400	The announcements were made at the International Broadcasting Convention (IBC) in Amsterdam.	The submission was on Monday, but the announcement was made Friday at the International Broadcasting Convention in Amsterdam.
4.250	Appellate courts across the country have issued differing rulings on the issue, allowing public displays of the Ten Commandments in some cases and banning them in others.	Lower courts have splintered on the issue, allowing depictions of the Ten Commandments in some instances and not in others.
4.750	The government has chosen three companies to develop plans to protect commercial aircraft from shoulder-fired missile attacks, homeland security officials announced Tuesday.	The Department of Homeland Security announced Tuesday that it has selected three companies to continue research into ways to thwart shoulder-fired missile attacks on U.S. commercial aircraft.
1.750	Tamil parties blame the Liberation Tigers of Tamil Eelam (LTTE) for these killings.	The government wanted to revive talks with the Liberation Tigers of Tamil Eelam (LTTE) to discuss the interim structure.
3.250	Two of the Britons, Sandy Mitchell from Glasgow and Glasgow-born William Sampson, face the death penalty.	Sandy Mitchell, 44, from Kirkintilloch, Glasgow, and William Sampson, a British citizen born in Glasgow, face beheading in public.
3.000	He urged patience from Americans eager for the service, which is intended to block about 80 percent of telemarketing calls.	The free service was originally intended to block about 80 percent of telemarketer calls.
2.400	He was arrested Tuesday night at a northwest Atlanta tire shop after a national manhunt.	He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off.
3.600	Jordan Green, the prelate's private lawyer, said he had no comment.	O'Brien's attorney, Jordan Green, declined to comment.
3.400	Mr Hadley, who has a new partner and child, said: "I am absolutely delighted.	In a statement issued by his solicitors, Mr Hadley said: "I am absolutely delighted with the outcome of proceedings.
3.250	The losses occurred overnight in Willow Canyon, one of three areas in the Santa Catalina Mountains threatened by the 2-week-old fire that already had blackened 70,000 acres.	The losses occurred overnight in Willow Canyon, one of three areas in the Santa Catalina Mountains threatened by the resurgent Aspen fire.
3.500	"We do not want to stand by and let a credit card lynching take place," declared Rep. Major Owens (D-Brooklyn).	"We don't want to stand by and see a credit card lynching take place," he said.
3.250	The effort is the Bush administration's latest effort to expand the role of religious organizations in government services.	July 10 - The Bush administration's latest effort to expand the role of religious organizations in government services enlists church-based youth groups in anti-drug programs.
3.786	However, commercial use of the 2.6.0 kernel is still months off for most customers.	Commercial releases of the 2.6 kernel by major Linux distributors still remain months away.
0.800	The broader Standard & Poor's 500 Index .SPX advanced 2 points, or 0.24 percent, to 977.	The Nasdaq Composite Index .IXIC was off 6.52 points, or 0.39 percent, at 1,645.66.
2.400	Two officials initially said about 300 workers had been arrested at 61 stores in 21 states.	But the officials later revised the numbers and said about 250 had been arrested at some 60 stores.
3.200	"This deal makes sense for both companies," Halla said in a prepared statement.	Brian Halla, CEO of NatSemi, claimed the deal made sense for both companies.
4.923	Fifty-seven senators, including 24 Republicans, have signed the letter.	Of those who signed the letter, 57 are senators, including 24 Republicans.
3.800	The shares represent more than half the 115.9 million shares Turner held at the end of April, according to Bloomberg data.	The sale represents about 52 per cent of the 115.9 million shares Mr Turner held at the end of April.
2.600	Five more human cases of West Nile virus, were reported by the Mesa County Health Department on Wednesday.	As of this week, 103 human West Nile cases in 45 counties had been reported to the health department.
4.000	Mr. Manuel and his group entered the United States by walking across the bridge linking Matamoros and Brownsville.	Manuel and his group entered the US the same way thousands of people do every day, by walking across the bridge between Matamoros and Brownsville.
3.000	Under NASD regulations, Mr. Young can file a response and request a hearing before an NASD panel.	The analyst, already let go by Merrill, can request a hearing before a NASD panel.
3.200	Its keywords are supported by Chinese language Web portals.	Chinese language Web portals also support 3721 keywords, the Web site said.
3.200	The president began his speech by acknowledging the terrorist attacks in Saudi Arabia that killed at least 29 people, including seven Americans.	Bush, however, also lashed out at the terrorist bombings in Saudi Arabia that killed at least 29 people -- including a number of Americans.
3.400	Sirius carries National Public Radio, although it doesn't include popular shows such as "All Things Considered" and "Morning Edition."	Sirius recently began carrying National Public Radio, a deal pooh-poohed by XM because it doesn't include popular shows like All Things Considered and Morning Edition.
3.200	"I´m very proud of the citizens of this state," Gov. John Baldacci said after votes from Tuesday´s referendum were counted.	"I'm very proud of the citizens of this state," said Gov. John Baldacci, a casino foe.
3.400	Among three major candidates, Schwarzenegger is wining the battle for independents and crossover voters.	Schwarzenegger picks up more independents and crossover voters than Bustamante.
2.600	He will replace Ron Dittemore, who announced his resignation April 23.	Dittemore announced his plans to resign on April 23.
4.571	Selenski had previously spent seven years in prison on a bank robbery conviction.	Selenski had served about seven years in prison for bank robbery.
3.400	Maddox, 87, cracked two ribs when he fell about 10 days ago at an assisted living home where he was recovering from intestinal surgery, Virginia Carnes said.	Maddox, who had battled cancer since 1983, cracked two ribs earlier this month when he fell at an assisted living home where he was recovering from surgery.
2.250	Graham, a presidential candidate, was criticized by several Republicans as ''politicizing'' the report.	Graham, who co-chaired the inquiry, is a presidential candidate.
3.500	In 2002, Linksys overtook Cisco Systems as the leading wireless equipment vendor, accounting for 14.1 percent of revenue.	Rolfe said Linksys overtook Cisco Systems last year as the leading supplier of WLAN equipment.
2.750	Schools that fail to meet state goals for three years in a row must offer tutoring in addition to transfers.	Schools that don't meet the testing goals for two years in a row must offer transfers.
4.750	Tampering with medicine has been so lucrative that many of those arrested lived in million-dollar homes.	Tampering with medicine apparently was so lucrative, investigators said, that many of the suspects lived in million-dollar homes.
2.500	The consensus estimate of analysts polled by Thomson First Call called for a profit of $1.70 per share.	Analysts polled by Reuters Research, a unit of Reuters Group Plc, on average forecast profit of $1.69 per share.
3.250	Initial autopsy reports show they died of dehydration, hyperthermia and suffocation.	Two more died later, and initial autopsy reports show they succumbed to dehydration, hypothermia and suffocation.
4.500	Mr Howard said he also had faith in the system under which Hicks could be tried.	Mr Howard also said yesterday that Hicks would be fairly treated, saying he had faith in the US justice system.
3.500	Mahmud controlled access to Saddam for everyone but immediate family members, Pentagon officials said.	Mahmud controlled access to Saddam and was frequently at his side.
3.167	Smugglers in a van chased down a pickup and SUV carrying other smugglers and illegal immigrants, said Pinal County Sheriff Roger Vanderpool.	People in a van opened fire on a pickup and SUV believed to be transporting illegal immigrants, said Pinal County Sheriff Roger Vanderpool.
4.500	The trial, featuring 125 witnesses, could continue until the start of 2004.	The trial, which could last until early 2004, is expected to hear the first of 125 witnesses Friday.
4.750	The computers were reportedly located in the U.S., Canada and South Korea.	The PCs are scattered across the United States, Canada and South Korea.
2.750	The vulnerability affects Windows NT 4.0, NT 4.0 Terminal Services Edition, XP and 2000, as well as Windows Server 2003.	Microsoft issued a patch for the vulnerability, which affects Windows NT 4.0, Windows NT 4.0 Terminal Services Edition, Windows 2000, Windows XP and Windows Server 2003.
3.200	The additional contribution brings total U.S. food aid to North Korea this year to 100,000 tonnes.	The donation of 60,000 tons brings the total of U.S. contributions for the year to 100,000.
2.600	The European Union banned the import of genetically modified food in 1998; the United States is now demanding that the EU end its ban.	The union banned the import of genetically modified food in 1998 after many consumers feared health risks.
4.400	He projected Vanderpool will be available within the next five years.	Products featuring Vanderpool will be released within five years, he said.
3.000	Annika Sorenstam gets her first opportunity to test that objective this week at the McDonald's LPGA Championship.	The appetizer devoured, Annika Sorenstam moves on to the entree this week at the McDonald's LPGA Championship.
0.944	The broader Standard & Poor's 500 Index .SPX gained 3 points, or 0.39 percent, at 924.	The technology-laced Nasdaq Composite Index <.IXIC> rose 6 points, or 0.41 percent, to 1,498.
2.400	According to the 2000 Census, Long Beach's Hispanic or Latino population was listed at 35.8 percent.	According to the Census Bureau, the Hispanic population increased by 9.8 percent from the April 2000 census figures.
3.800	Authorities appealed to the public Friday to come forward and provide what could be the key to solving the sniper-style shootings that have killed three people outside area convenience stores.	Authorities looked to the public yesterday for help in solving the deadly sniper-style shootings of three people outside Charleston-area convenience stores.
3.800	Actor Noah Wyle, who has played Dr. John Carter since the shows inception in 1994, extended his contract with the show through the 2004-2005 season.	Noah Wyle, who has played Dr. John Carter since the series launched in 1994, has inked a one-year extension to his deal with producer Warner Bros. TV.
4.000	Cisco has signed similar deals with AT&T Corp. T.N , SBC Communications Inc. SBC.N and Sprint Corp. FON.N .	Cisco has similar relationships with BellSouth competitors SBC Communications, AT&T and Sprint Communications.
3.800	The WHO says the latest case does not fit its profile of SARS and is not a public health concern.	The WHO has said the Singapore case did not fit its profile of SARS and was "not an international public health concern."
3.800	Harris and Klebold killed 12 students and a teacher before taking their own lives on April 20, 1999.	Harris and Klebold killed 12 students, a teacher and themselves at the school.
4.200	"We condemn the Governing Council headed by the United States," Muqtada al Sadr said in a sermon at a mosque.	"We condemn and denounce the Governing Council, which is headed by the United States," Moqtada al-Sadr said.
4.400	Second comes HP (27 percent with $2.9 billion, up just 0.4 percent).	HP fell to second place with server sales growing 0.4 percent to $2.9 billion.
4.200	In a statement distributed Friday, 28 Chechen non-governmental organizations said they would boycott the vote.	In a statement distributed today, 28 Chechen non-governmental organisations said they would boycott the vote and warned voters to expect fraud.
2.600	The state's population was 6,080,485 in 2000, according to the U.S. census.	Between 1960 and 2000, however, the state's population grew by 30.4 percent to 6,080,485.
3.056	July 18: Hurlbert files a single count of felony sexual assault against Bryant.	Bryant, 24, has been charged with felony sexual assault.
4.750	St. Paul Chairman and Chief Executive Jay S. Fishman, 51, will be CEO of the combined company.	Jay Fishman, 51, chairman and chief executive of St Paul, will be chief executive of the combined company.
3.500	U.S. forces recently apprehended some 40 suspected foreign militants near the Syrian border and are now interrogating them.	The Third Armored Cavalry Regiment recently apprehended about 40 suspected fighters near the Syrian border, officials said.
3.250	Instead, Weida decided that Meester's case on charges of rape, sodomy, indecent assault and providing alcohol to minors should proceed to a court-martial.	Douglas Meester, 20, is charged with rape, sodomy, indecent assault, and providing alcohol to minors.
1.500	That compares with a profit of $1 million, or breakeven, on $1.39 billion in revenue during the same period last year.	Total revenue for the second quarter was $1.48 billion, up 7% from $1.39 billion in the same period last year.
3.400	They made a similar discovery in Houston on another aircraft, Dallas-based Southwest said in a statement.	The airline said a similar discovery was made on the plane in Houston.
3.750	Rosenthal declined comment on the Garrett situation Tuesday but said in a statement: "We had a big contract negotiation.	The show's creator and executive producer, Phil Rosenthal, quipped in a statement: "We had a big contract negotiation.
2.600	With the power back on, state workers headed back to their jobs Friday morning.	Pataki said if power was restored, state workers would be back on the job Friday morning.
2.800	Bolivia's army fought to stop columns of protesters from streaming into the food-starved capital on Wednesday as a popular uprising against the president spread.	Bolivia's army fought to stop a column of dynamite-wielding miners from streaming into the besieged capital on Wednesday, leaving two dead as a popular uprising against the President spread.
2.400	The Nasdaq fell about 1.3% for the month, snapping a seven-month winning streak.	The Nasdaq is down roughly 0.4 percent for the month, on track to snap a 7-month streak of gains.
3.200	The report was found Oct. 23, tucked inside an old three-ring binder not related to the investigation.	The report was found last week tucked inside a training manual that belonged to Hicks.
4.000	U.S. troops killed nearly two dozen suspected Taliban militants after coming under fire in southern Afghanistan in the latest in a series of such attacks.	U.S. soldiers killed about two dozen suspected Taliban militants in southern Afghanistan after their convoy came under attack, the military said Sunday.
3.600	The A920 comes with a printer, scanner, and copier for $89.	Dell's Personal All-in-One A920 is an entry-level device that combines printer, scanner and copier functions for $89.
3.400	On Saturday, the International Committee of the Red Cross said it was temporarily closing its offices in Baghdad and Basra.	The International Committee of the Red Cross, fearful for the safety of its staff operating in Iraq, announced it was temporarily shutting its offices in Baghdad and Basra.
2.400	The Ireland Palestine Solidarity Campaign, of which Mr O Muireagáin was a member, welcomed his release.	The Ireland Palestine Solidarity Campaign, of which he was a member, said he was researching a schools exchange project.
3.400	Glover said the killer used a "peculiar slipknot" on the ligature he used to strangle some of the victims.	Glover said the killer used a ``peculiar slipknot,'' including a coaxial cable and an extension cord, to strangle some of the victims.
3.600	She said Jane Doe's lawyers asked Verizon to withhold her name because she was planning on challenging the subpoena.	Jane Doe, deciding to fight the subpoena, asked Verizon to withhold her name.
3.400	It got up on his personal radar screen this past week, I've given him my pitch and he was quite supportive," he said.	"It got up on his personal radar screen in the past week, and I had to get my pitch.
3.400	In September, a 27-year-old Singapore researcher contracted SARS while working in a laboratory.	In a case in August, a 27-year-old laboratory worker in Singapore developed SARS.
4.818	A number below 50 suggests contraction in the manufacturing sector, while a number above that indicates expansion.	A reading above 50 suggests growth in the sector, while a number below that level indicates contraction.
3.200	A lawsuit has been filed in an attempt to block the removal of the Ten Commandments monument from the building.	Supporters asked a federal court Monday to block the removal of a Ten Commandments monument from the Alabama Judicial Building.
1.400	Britz earned $3.77 million in salary, bonus and other compensation, and Kinney earned $3.76 million.	Johnston made $5.8 million in salary and bonus in 2001 as president, and as a part-time adviser earned $1 million in 2002.
3.000	That truck was spotted in the Campbells Creek area, fitting that description, Morris said.	A black pickup truck was also seen in the Campbells Creek area, Morris said.
4.200	But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.	But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said.
3.200	Chairman Michael Powell and FCC colleagues at the Wednesday hearing.	FCC chief Michael Powell presides over hearing Monday.
1.800	The Dow Jones Industrial Average was up 0.3 per cent at 9,886.75, while the Nasdaq Composite index was 0.4 per cent higher at 1,986.97.	On Wall Street, the Dow Jones Industrial Average rose 0.5 per cent at 9,905.8 and the Nasdaq Composite added 0.7 per cent at 1,995.1.
3.800	Tehran has made clear it will only sign the Additional Protocol introducing such inspections if a ban on the import of civilian Western nuclear technology is lifted.	Tehran has made it clear it will only sign the protocol if a ban on imports of peaceful Western nuclear technology is lifted.
4.600	Congress twice before passed similar restrictions only to see President Bill Clinton veto them.	Congress twice passed similar bills, but then-President Clinton vetoed them both times.
2.800	But I would rather be talking about high standards than low standards."	"I would rather be talking about positive numbers rather than negative.
4.250	Under the program, U.S. officials work with foreign port authorities to identify, target and search high-risk cargo.	Under the program, US officials work with foreign port authorities to seek out high-risk cargo before it can reach the United States.
3.000	Niels told an interviewer in 1999 he thought the Old Man would outlive him by many years.	In 1999, two years before his death, Mr. Nielsen told an interviewer that he thought the rock face would outlive him by many years.
0.750	One, Capt. Doug McDonald, remained hospitalized in critical condition on Thursday.	Her 20-year-old sister, Allyson, was severely burned and remained hospitalized in critical condition.
4.000	On Wednesday, the total of National Guard and Reserve members called to active duty worldwide stood at 154,603.	As of yesterday, the total number of National Guard and Reserve troops called to duty worldwide stood at 154,603.
3.600	During a period of nearly a decade, Telemarketing Associates raised more than $7 million.	Telemarketing Associates, hired by VietNow, raised $7.1 million from 1987 to 1995.
2.200	The bodies of former Invercargill man Warren Campbell, 32, and climbing companion Jonathan Smith, 47, were recovered from below Mt D'Archiac late yesterday morning.	Warren David Campbell, 32, and climbing companion Jonathan Smith, 47, did not return as expected on Tuesday from climbing on Mt D'Archiac in the McKenzie District.
2.800	Mr. Geoghan had been living in a protective custody unit since being transferred to the prison on April 3.	He had been in protective custody since being transferred to Souza-Baranowski in April, officials said.
3.200	The 2000 Democratic platform supported "the full inclusion of gay and lesbian families in the life of the nation."	The Democrat's 2000 platform didn't explicitly support gay marriages but backed "the full inclusion of gay and lesbian families into the life of the nation."
1.250	Its shares fell 71 cents, or 3.5 percent, in after-hours trading to $19.55.	The stock had risen 63 cents, or 3 percent, to close at $20.26 in regular-session Nasdaq trading.
3.000	Singapore reported no suspected SARS cases Wednesday, but officials quarantined 70 people who had contact with the Taiwanese patient.	Still, Singapore quarantined 70 people who had been in close contact with the scientist.
3.250	A former candidate for governor of New York, he styled himself an advocate of better corporate governance.	Mr. McCall, who ran unsuccessfully for governor of New York in 2002, styled himself an advocate of better corporate governance.
3.000	Hundreds of reporters and photographers swamped the courthouse grounds before the hearing, which was carried live on national cable networks.	Hundreds of reporters and photographers swamped the town and the short hearing involving the five-time All-Star was carried live on national cable networks.
2.200	AMD's chip sales jumped 7 percent year-on-year to $402 million.	Second-quarter sales grew 7 percent, to $645 million from $600 million in 2002.
3.000	Downstream at Mount Vernon, the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight, Burke said.	The Skagit was expected to crest during the night at 38 feet at Mount Vernon, 10 feet above flood stage, the National Weather Service said.
4.600	FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations, U.S. officials said on Thursday.	A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations.
3.600	Shelia Chaney Wilson seemed agitated when she came to help prepare for Turner Monumental A.M.E. Church's upcoming 104th anniversary celebration, worshippers said.	Congregants of Turner Monumental AME Church said Shelia Chaney Wilson, 43, was agitated when she came to the church, in the Kirkwood neighborhood on the city's east side.
4.000	He was the Ace of Diamonds in a pack of cards depicting Iraqi fugitives that has been issued to U.S. troops.	He was the ace of diamonds in a U.S. deck of cards showing pictures of most-wanted Iraqi leaders.
3.000	Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote, while the independent Dragan Hajdukovic got 4 percent.	A pro-independence radical, Miodrag Zivkovic, of the Liberal Alliance, came in second with 31 percent of the vote.
3.750	So far, Georgia has been returned all but $70,000 of the money it wired.	Georgia has received all but $70,000 of its money back with the help of the FBI.
3.714	Yeager said the suspect in the Target attack showed tendencies of being a prior offender.	Yeager said the incident appeared to be isolated, but the suspect showed tendencies of being a prior offender.
5.000	The island nation reported 65 new cases on May 22, a one day record, and 55 new cases on May 23, making Taiwan's epidemic the fastest-growing in the world.	Taiwan reported 65 new cases on May 22, a one-day record, and 55 new cases on May 23, making its epidemic the world's fastest-growing.
3.200	Cubs outfielder Sammy Sosa was suspended for eight games by major league baseball Friday for using a corked bat.	Sammy Sosa was suspended for eight games by major league baseball Friday for using a corked bat, and he immediately appealed the decision.
3.200	Half of the women were given a daily dose of the drug and half took a placebo.	Half the women received a daily tablet of the combination oestrogen plus progestin while the rest were given a placebo.
1.600	On Monday, the Dow declined 5.25, or 0.1 percent, at 8,983.80, having shed 2.3 percent last week.	In early trading, the Dow Jones industrial average was down 39.94, or 0.4 percent, at 8,945.50, having slipped 3.61 points Monday.
3.333	The 30-year bond US30YT=RR dipped 14/32 for a yield of 4.26 percent from 4.23 percent.	The 30-year bond US30YT=RR lost 16/32, taking its yield to 4.20 percent from 4.18 percent.
4.000	The injured were taken to hospitals in Jefferson City and Columbia, a college town about 30 miles to the north.	The injured were taken to hospitals in Jefferson City and Columbia, about 48km north; their conditions were not immediately available.
3.000	When police removed the four from the home, they weighed 136 pounds combined.	Each boy weighed less than 50 pounds when they were removed from the home Oct. 10.
1.333	The dollar was at 117.85 yen against the Japanese currency, up 0.1 percent.	Against the Swiss franc the dollar was at 1.3289 francs, up 0.5 percent on the day.
3.600	While the Ibrahims had one separation operation, Goodrich and Dr. David Staffenberg plan about three for the Aguirres, with several weeks between each.	Instead of one long operation to separate the twins, Goodrich and Dr. David Staffenberg plan about three, with several weeks between each.
4.200	The company has expanded into providing other services for buyers, including payment services.	The company has expanded those basic services, offering payment and even financing.
1.800	The blasts killed two people and injured more than 150 others.	The Atlanta Olympic Games attack killed one woman and injured more than 100 other people.
3.231	In 2001, President Bush named Kathy Gregg to the Student Loan Marketing Association board of directors.	In 2001, President Bush named her to the Student Loan Marketing Association, the largest U.S. lender for students.
3.000	The Boston Archdiocese has faced waves of scandal that have not only angered victims' advocates but parishioners and some priests.	The waves of scandal angered not only victims' advocates but parishioners and some priests, to the point that Law could no longer run the archdiocese.
3.000	A federal magistrate in Fort Lauderdale ordered him held without bail.	Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla.
3.750	The department's position threatens to alienate social conservatives, who have provided strong political support for Mr. Ashcroft and President Bush.	The department's stance disappointed some abortion opponents, and it threatens to alienate social conservatives who have provided strong political support for Ashcroft and President Bush.
5.000	South Africa has the world's highest caseload with 4.7 million people infected with HIV or AIDS.	With 4.7 million people infected with HIV or AIDS, South Africa has the world's highest AIDS caseload.
3.400	In that position, Elias will report to Joe Tucci, president and CEO of EMC.	As executive vice president of new ventures, Elias will report to Joe Tucci, EMC's president and chief executive.
3.200	The new Army Commander is the Masaka Armoured Brigade commanding officer, Brigadier Aronda Nyakairima who is now promoted to major general.	PRESIDENT Yoweri Museveni has promoted Brigadier Aronda Nyakairima to Major General and named him Army Commander.
3.400	"If that ain't a Democrat, I must be at the wrong meeting," he said.	And if that ain't a Democrat, then I must be in the wrong meeting," he said to thunderous applause from his supporters.
2.800	Mailblocks was founded five years after WebTV was acquired by Microsoft for $425 million.	WebTV was sold to Microsoft in 1997 for $425 million and today is called MSN TV.
2.800	"It's a major victory for Maine, and it's a major victory for other states.	The Maine program could be a model for other states.
3.600	In addition to O'Connor, Rehnquist's majority opinion was joined by Justices David Souter, Ruth Bader Ginsburg, and Stephen Breyer.	Joining him in the majority opinion were Justices Sandra Day O'Connor, David H. Souter, Ruth Bader Ginsburg and Stephen G. Breyer.
2.800	The Metropolitan Transportation Authority was given two weeks to restore the $1.50 fare and the old commuter railroad rates, York declared.	The Metropolitan Transportation Authority, which plans to appeal, was given until May 28 to restore the old subway and bus fare and the old commuter railroad rates.
3.000	The Embraer jets are scheduled to be delivered by September 2006.	The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006.
4.600	"Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush."	"Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites)."
3.200	The state wants to kill the wolves in approximately a 1,700-square-mile area near the village of McGrath.	The state wants to kill the wolves in approximately a 1,700-square-mile area near McGrath to establish a moose nursery of sorts.
3.000	Peterson told police he fished alone in San Francisco Bay on Christmas Eve, returning to an empty house.	Peterson told police he left his wife at about 9:30 a.m. on Dec. 24 to fish alone in San Francisco Bay.
3.800	The Fed's Empire State survey far exceeded expectations by jumping to 26.8 in June, a record high, from 10.6 in May.	Prices had pulled back from offshore highs when the Empire State survey far exceeded expectations by jumping to 26.8 in June, a record high, from 10.6 in May.
3.000	"I can say I am being forced into exile by the world superpower," he said.	"I am being forced into exile by the world's superpower," Taylor said in an address videotaped at his home.
4.500	Det Chief Insp Norman McKinlay said there was "evidence a body or bodies have been in this area".	Detective Chief Inspector Norman McKinlay, leading the investigation, said: "There is evidence a body or bodies have been in this area.
3.750	Investigators have meticulously looked into virtually every aspect of Campbell's personal and financial affairs, Campbell has acknowledged.	Investigators continue to probe virtually every aspect of Campbell's personal and financial affairs, the former mayor has said.
3.000	Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday, as did Mills.	Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.
4.727	General Jeffrey said he would donate his military pension to charity for the period he was in office at Yarralumla.	Maj-Gen Jeffery said he would give his military pension to charity while he served at Yarralumla.
3.800	Tampa Bay manager Lou Piniella, bench coach John McLaren and right fielder Aubrey Huff were ejected for arguing after Huff was called out on strikes to end the ninth.	Tampa Bay manager Lou Piniella, bench coach John McLaren and Huff all were ejected in the middle of the ninth.
3.000	The venture owns five oil refineries and more than 2,100 filling stations in Russia and Ukraine.	TNK-BP has six oil producing units, five refineries and 2,100 filling stations.
4.600	Other changes in the plan refine his original vision, Libeskind said.	Many of the changes are improvements to the original plan, Libeskind said.
4.400	Revenue rose to $616.5 million from $610.6 million a year earlier.	Revenue was up a tad, from $610.6 million to $616.5 million.
1.000	The broad Standard & Poor's 500 Index <.SPX> was up 8.79 points, or 0.96 percent, at 929.06.	The technology-laced Nasdaq Composite Index <.IXIC> jumped 26 points, or 1.78 percent, to 1,516.
2.000	Rep. Peter Deutsch, D-Fla., criticized the FDA's efforts in Florida.	Peter Deutsch, D-Fla., said he wanted to congratulate the FDA.
2.800	Neither Iowa State athletic director Bruce Van De Velde nor Morgan could be reached for comment.	Iowa State athletic director Bruce Van de Velde would not confirm an offer was made to Lebo.
1.500	There are now 37 active probable cases in the GTA, compared with 70 cases on June 6.	And, globally, the number of active probable cases has declined to 573.
3.250	The male eagle was found by a zookeeper early Thursday, suffering from severe puncture wounds in his abdomen.	The 21-year-old eagle, found by a zookeeper early Thursday, had severe puncture wounds to his abdomen and back, spokeswoman Julie Mason said.
1.750	Agnew said Pinellas began baiting when rabies cases "went from zero to 30" in 1995.	Still, Pinellas rabies cases fell sharply to 17 in 1996 and 3 in 1997, Agnew said.
1.750	Marc Garber, Whitley's attorney, had a different view.	Whitley's attorney, Marc Garber, called the ruling "a huge victory."
5.000	BioReliance's stock closed down 2 cents yesterday at $47.98 per share.	Shares of BioReliance sold at $47.98 at the close of market yesterday, down 2 cents.
3.600	Just five months ago, Dean committed to accepting taxpayer money and vowed to attack any Democrat who didnt.	Just five months ago, Dean committed to accepting taxpayer money and the spending limits that come with it and vowed to attack any Democrat who didnt.
3.200	SARS has killed 296 people on China's mainland and infected more than 5,200.	Throughout China's mainland, the disease has killed 300 people and infected more than 5,270.
3.000	The redesigned Finder also features search, coloured labels for customized organization of documents and projects and dynamic browsing of the network for Mac, Windows and UNIX file servers.	It also supports coloured labels to better organise documents, and dynamic browsing of the network for Mac, Windows and Unix file servers.
